partida_id,rodada,clube,chutes,chutes_no_alvo,posse_de_bola,passes,precisao_passes,faltas,cartao_amarelo,cartao_vermelho,impedimentos,escanteios,data,hora,mandante,visitante,formacao_mandante,formacao_visitante,vencedor,mandante_Placar,visitante_Placar,mandante_Estado,visitante_Estado,ano,total_gols,resultado,pontos,media_gols_ano,z_score_total_gols
6126,1,Cruzeiro,12.0,2.0,40.0,425.0,81.0,20.0,3.0,0.0,0.0,7.0,2018-04-14,16:00,Cruzeiro,Gremio,4-2-3-1,4-2-3-1,Gremio,0,1,MG,RS,2018,1,Derrota,0,2.1763157894736844,-0.7929357428384258
6126,1,Gremio,6.0,2.0,60.0,649.0,86.0,15.0,1.0,1.0,3.0,4.0,2018-04-14,16:00,Cruzeiro,Gremio,4-2-3-1,4-2-3-1,Gremio,0,1,MG,RS,2018,1,Vitória,3,2.1763157894736844,-0.7929357428384258
6127,1,Vitoria,21.0,6.0,66.0,545.0,88.0,24.0,3.0,0.0,2.0,4.0,2018-04-14,19:02,Vitoria,Flamengo,4-2-3-1,4-1-4-1,-,2,2,BA,RJ,2018,4,Empate,1,2.1763157894736844,1.229316487219304
6127,1,Flamengo,10.0,5.0,34.0,286.0,72.0,10.0,2.0,1.0,2.0,5.0,2018-04-14,19:02,Vitoria,Flamengo,4-2-3-1,4-1-4-1,-,2,2,BA,RJ,2018,4,Empate,1,2.1763157894736844,1.229316487219304
6128,1,Santos,22.0,3.0,54.0,532.0,90.0,7.0,0.0,0.0,1.0,4.0,2018-04-14,21:03,Santos,Ceara,4-3-3,4-1-4-1,Santos,2,0,SP,CE,2018,2,Vitória,3,2.1763157894736844,-0.11885166615251586
6128,1,Ceara,10.0,2.0,46.0,472.0,85.0,5.0,1.0,0.0,0.0,2.0,2018-04-14,21:03,Santos,Ceara,4-3-3,4-1-4-1,Santos,2,0,SP,CE,2018,2,Derrota,0,2.1763157894736844,-0.11885166615251586
6129,1,Sport,15.0,5.0,62.0,580.0,85.0,12.0,3.0,0.0,3.0,6.0,2018-04-15,11:00,America-MG,Sport,4-1-4-1,4-3-2-1,America-MG,3,0,MG,PE,2018,3,Derrota,0,2.1763157894736844,0.5552324105333941
6129,1,America-MG,14.0,4.0,38.0,363.0,76.0,11.0,1.0,0.0,4.0,2.0,2018-04-15,11:00,America-MG,Sport,4-1-4-1,4-3-2-1,America-MG,3,0,MG,PE,2018,3,Vitória,3,2.1763157894736844,0.5552324105333941
6130,1,Vasco,19.0,7.0,67.0,596.0,88.0,11.0,4.0,0.0,3.0,9.0,2018-04-15,16:01,Vasco,Atletico-MG,4-1-4-1,4-1-4-1,Vasco,2,1,RJ,MG,2018,3,Vitória,3,2.1763157894736844,0.5552324105333941
6130,1,Atletico-MG,11.0,6.0,33.0,321.0,78.0,18.0,3.0,0.0,3.0,3.0,2018-04-15,16:01,Vasco,Atletico-MG,4-1-4-1,4-1-4-1,Vasco,2,1,RJ,MG,2018,3,Derrota,0,2.1763157894736844,0.5552324105333941
6131,1,Bahia,12.0,2.0,55.0,491.0,82.0,18.0,0.0,0.0,1.0,3.0,2018-04-15,16:02,Internacional,Bahia,4-2-3-1,4-2-3-1,Internacional,2,0,RS,BA,2018,2,Derrota,0,2.1763157894736844,-0.11885166615251586
6131,1,Internacional,13.0,4.0,45.0,412.0,75.0,16.0,2.0,0.0,1.0,4.0,2018-04-15,16:02,Internacional,Bahia,4-2-3-1,4-2-3-1,Internacional,2,0,RS,BA,2018,2,Vitória,3,2.1763157894736844,-0.11885166615251586
6132,1,Corinthians,11.0,2.0,65.0,515.0,84.0,14.0,0.0,0.0,0.0,6.0,2018-04-15,16:02,Corinthians,Fluminense,4-2-4-0,5-4-1,Corinthians,2,1,SP,RJ,2018,3,Vitória,3,2.1763157894736844,0.5552324105333941
6132,1,Fluminense,13.0,3.0,35.0,293.0,73.0,15.0,0.0,0.0,0.0,2.0,2018-04-15,16:02,Corinthians,Fluminense,4-2-4-0,5-4-1,Corinthians,2,1,SP,RJ,2018,3,Derrota,0,2.1763157894736844,0.5552324105333941
6133,1,Chapecoense,14.0,1.0,30.0,271.0,77.0,16.0,3.0,0.0,1.0,9.0,2018-04-15,19:01,Athletico-PR,Chapecoense,3-4-2-1,5-4-1,Athletico-PR,5,1,PR,SC,2018,6,Derrota,0,2.1763157894736844,2.5774846405911243
6133,1,Athletico-PR,18.0,8.0,70.0,646.0,92.0,10.0,1.0,0.0,3.0,3.0,2018-04-15,19:01,Athletico-PR,Chapecoense,3-4-2-1,5-4-1,Athletico-PR,5,1,PR,SC,2018,6,Vitória,3,2.1763157894736844,2.5774846405911243
6134,1,Sao Paulo,10.0,5.0,52.0,480.0,86.0,20.0,4.0,0.0,3.0,7.0,2018-04-16,19:59,Sao Paulo,Parana,4-2-3-1,4-1-4-1,Sao Paulo,1,0,SP,PR,2018,1,Vitória,3,2.1763157894736844,-0.7929357428384258
6134,1,Parana,7.0,1.0,48.0,446.0,84.0,15.0,2.0,0.0,2.0,7.0,2018-04-16,19:59,Sao Paulo,Parana,4-2-3-1,4-1-4-1,Sao Paulo,1,0,SP,PR,2018,1,Derrota,0,2.1763157894736844,-0.7929357428384258
6135,1,Palmeiras,7.0,4.0,54.0,498.0,81.0,23.0,4.0,0.0,0.0,3.0,2018-04-16,20:00,Botafogo-RJ,Palmeiras,4-1-4-1,4-2-3-1,-,1,1,RJ,SP,2018,2,Empate,1,2.1763157894736844,-0.11885166615251586
6135,1,Botafogo-RJ,13.0,3.0,46.0,409.0,80.0,7.0,1.0,0.0,0.0,8.0,2018-04-16,20:00,Botafogo-RJ,Palmeiras,4-1-4-1,4-2-3-1,-,1,1,RJ,SP,2018,2,Empate,1,2.1763157894736844,-0.11885166615251586
6136,2,Bahia,12.0,5.0,54.0,395.0,84.0,29.0,4.0,0.0,2.0,7.0,2018-04-21,16:02,Bahia,Santos,4-2-3-1,4-2-3-1,Bahia,1,0,BA,SP,2018,1,Vitória,3,2.1763157894736844,-0.7929357428384258
6136,2,Santos,8.0,2.0,46.0,352.0,80.0,21.0,3.0,0.0,5.0,6.0,2018-04-21,16:02,Bahia,Santos,4-2-3-1,4-2-3-1,Bahia,1,0,BA,SP,2018,1,Derrota,0,2.1763157894736844,-0.7929357428384258
6137,2,America-MG,18.0,5.0,51.0,345.0,79.0,17.0,1.0,0.0,0.0,12.0,2018-04-21,19:00,Flamengo,America-MG,4-1-4-1,4-2-3-1,Flamengo,2,0,RJ,MG,2018,2,Derrota,0,2.1763157894736844,-0.11885166615251586
6137,2,Flamengo,14.0,5.0,49.0,345.0,82.0,15.0,1.0,0.0,1.0,6.0,2018-04-21,19:00,Flamengo,America-MG,4-1-4-1,4-2-3-1,Flamengo,2,0,RJ,MG,2018,2,Vitória,3,2.1763157894736844,-0.11885166615251586
6138,2,Corinthians,9.0,4.0,52.0,467.0,82.0,16.0,1.0,0.0,1.0,2.0,2018-04-22,11:00,Parana,Corinthians,4-2-3-1,4-2-4-0,Corinthians,0,4,PR,SP,2018,4,Vitória,3,2.1763157894736844,1.229316487219304
6138,2,Parana,17.0,6.0,48.0,413.0,84.0,16.0,1.0,0.0,2.0,5.0,2018-04-22,11:00,Parana,Corinthians,4-2-3-1,4-2-4-0,Corinthians,0,4,PR,SP,2018,4,Derrota,0,2.1763157894736844,1.229316487219304
6139,2,Ceara,14.0,3.0,51.0,497.0,85.0,12.0,1.0,0.0,1.0,7.0,2018-04-22,16:00,Ceara,Sao Paulo,3-4-2-1,4-1-4-1,-,0,0,CE,SP,2018,0,Empate,1,2.1763157894736844,-1.4670198195243358
6139,2,Sao Paulo,11.0,3.0,49.0,476.0,86.0,7.0,1.0,0.0,1.0,7.0,2018-04-22,16:00,Ceara,Sao Paulo,3-4-2-1,4-1-4-1,-,0,0,CE,SP,2018,0,Empate,1,2.1763157894736844,-1.4670198195243358
6140,2,Vitoria,11.0,3.0,39.0,321.0,78.0,19.0,4.0,0.0,1.0,5.0,2018-04-22,16:00,Atletico-MG,Vitoria,4-2-3-1,4-2-3-1,Atletico-MG,2,1,MG,BA,2018,3,Derrota,0,2.1763157894736844,0.5552324105333941
